model,alpha_daily,alpha_annual,alpha_t,alpha_p,R2_adj,N,beta_Mkt_RF,t_Mkt_RF,p_Mkt_RF,model_spec,beta_SMB,t_SMB,p_SMB,beta_HML,t_HML,p_HML,beta_RMW,t_RMW,p_RMW,beta_CMA,t_CMA,p_CMA,beta_Mom,t_Mom,p_Mom
CAPM,0.0016632589712413373,0.419141260752817,2.8197691545293924,0.004805820847553112,0.0009341603907658813,1512,0.0736969420457138,0.9420968229731739,0.34614307092558727,CAPM,,,,,,,,,,,,,,,
FF3,0.001661937402881267,0.41880822552607927,2.7990188891369048,0.00512581388285902,-0.00010564709505533898,1512,0.07778590878079383,0.9216866723202635,0.35669203440657915,FF3,-0.0137991433672313,-0.13105626217784477,0.8957308003829342,0.0408400731070548,0.5421169309285987,0.5877379558627776,,,,,,,,,
FF5,0.0017169059002901492,0.4326602868731176,2.856334534865294,0.00428563318522992,0.0021754485553444614,1512,0.04324951492799735,0.45266561833521685,0.6507895406056168,FF5,-0.08356589825139324,-0.7162398936667098,0.47384323368785486,0.17938237518279623,1.9210545612644372,0.054724829268632626,-0.11337457835030054,-0.8812610965487487,0.3781765174338869,-0.32190595300007385,-1.7744780034450767,0.07598411738163537,,,
FF5+MOM,0.001717838191397973,0.4328952242322892,2.8608402714611283,0.004225198668789969,0.002313495012735478,1512,0.04074905659039514,0.42236116921157985,0.6727614163428944,FF5+MOM,-0.10578928310588123,-0.8893114154989937,0.37383573811914406,0.14402481498842556,1.5228316655868683,0.12780082551910737,-0.11981198378381974,-0.9296728719748047,0.35254048441840613,-0.26158862309674147,-1.3713363102331835,0.17027014158638987,-0.06330071322068664,-1.1743860082762791,0.24024044700282143
