lag,correlation,p_value,n_samples,significant
0,-0.22415164031361823,3.264519097618358e-08,595,✓
1,-0.21450479055740448,1.2712261997907425e-07,595,✓
2,-0.2066622501663362,4.2970884680200335e-07,588,✓
3,-0.18325262952677096,8.777108138385005e-06,581,✓
4,-0.15553287180545616,0.00018331225253244185,574,✓
5,-0.1538252863711574,0.00023629596745289568,567,✓
