strategy,total_return,sharpe_ratio,max_drawdown,win_rate,sortino_ratio,calmar_ratio
ML Strategy,18.7,1.24,-9.8,58,1.63,1.91
Buy and Hold,12.5,0.78,-15.2,0,0.95,0.82
