strategy_name,total_return,annual_return,n_days,n_trades,avg_turnover,avg_positions,annual_vol,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,sharpe_ci_lower,sharpe_ci_upper,sharpe_tstat,sharpe_pvalue,sharpe_significant,win_rate,avg_win,avg_loss,win_loss_ratio,mean_ic,icir,ic_significant,total_cost,avg_daily_cost,cost_drag_annual
Equal_Weight,2.8072790918185135,0.2495945401479649,1512.0,1.0,0.0006613756613756613,30.0,0.26068455622043163,0.957458100958274,1.281904625037261,-0.3239354291105043,0.7705070755407262,0.1561779465096621,1.758738255406886,2.3420246557455076,0.009589723926658597,True,0.5548941798941799,0.01138060614042475,-0.01189672822306039,0.9566164685820763,-0.0005106436251795265,-0.0023166391784127526,False,0.0005,3.306878306878307e-07,8.333333333333333e-05
Baseline_P50,2.274816365833615,0.21860931075301715,1512.0,898.0,0.19481149900778064,25.264550264550266,0.2640510903452815,0.827905351449815,1.1017976786333292,-0.3385501490788029,0.6457220927175914,0.02685326143321176,1.6289574414664183,2.025704082250137,0.02139755906047555,True,0.548941798941799,0.01153378219693412,-0.011989123827623646,0.9620204414237183,-0.0005106436251795265,-0.0023166391784127526,False,0.14727749324988215,9.740574950389031e-05,0.02454624887498036
BuyHold_SPY,1.3038839146440164,0.1492383204365526,1512.0,0.0,0.0,1.0,0.2016874110433623,0.7399486148615728,0.9050457454886796,-0.3371727136342998,0.4426168382012599,-0.060885017519129225,1.5407822472422747,1.8109869846715385,0.035071433201963695,True,0.5502645502645502,0.00825713824303977,-0.00872058853612456,0.9468556174660722,,,,0.0,0.0,0.0
Momentum_Top1,3.0719781995491697,0.2636716451634311,1512.0,407.0,0.5376984126984127,1.0,0.46122079311083475,0.5716820427479489,0.7928739303711392,-0.6267774687128846,0.4206782443933292,-0.22897648269099113,1.372340568186889,1.3994690222922397,0.08083619073348164,False,0.5092592592592593,0.02050681100306295,-0.018576332126960998,1.1039214233955328,-0.0005106436251795265,-0.0023166391784127526,False,0.40650000000000003,0.00026884920634920637,0.06775
TopK1_Trend,1.2975261747752587,0.14870914347548636,1512.0,761.0,1.005952380952381,1.0,0.3342758871001954,0.44486949018525074,0.6177387786355376,-0.36065256052811445,0.412333530247857,-0.3556484155485096,1.2453873959190112,1.0892251060441442,0.13802731510041177,False,0.5198412698412699,0.01487404216887903,-0.014535532956001577,1.0232883936146067,-0.0005106436251795265,-0.0023166391784127526,False,0.7605,0.0005029761904761904,0.12675
TopK3,0.2306762792029553,0.0351993047239636,1512.0,1248.0,0.9309964726631392,3.0,0.2904958777658249,0.1211697219068235,0.15974478917297263,-0.3818399669867809,0.09218339557729477,-0.6790762688925732,0.9214157127062202,0.2967745639064476,0.3833193130558641,False,0.5251322751322751,0.012204657116100717,-0.012853950359648978,0.9494868717101539,-0.0005106436251795265,-0.0023166391784127526,False,0.7038333333333333,0.00046549823633156966,0.11730555555555555
TopK2,-0.0192745550117297,-0.0032385331318847133,1512.0,1134.0,1.0033068783068784,2.0,0.30987216912127385,-0.010451190699275923,-0.013592126801382576,-0.5390167965956257,-0.006008223031896136,-0.8106422789218131,0.7897398975232612,-0.02559930255669632,0.5102115288159944,False,0.5231481481481481,0.01304912202949064,-0.013941352459289801,0.9360011568171334,-0.0005106436251795265,-0.0023166391784127526,False,0.7585000000000002,0.0005016534391534392,0.1264166666666667
Random_Top1,-0.0915647179944636,-0.04582044270200992,1512.0,1461.02,1.931904761904762,1.0,0.3807602368840031,-0.12003472110058683,-0.1525424055606936,-0.6564254897488097,-0.0458645310712065,-0.9202835150461047,0.6802140728449311,-0.29403187295403527,0.6002091913090816,0.0,0.4993253968253968,0.016158207570913987,-0.015959430231595524,1.0134391793268271,-0.0005106436251795263,-0.002316639178412753,0.0,1.4605200000000003,0.0009659523809523813,0.24342000000000005
Threshold_P60,-0.10743397204118144,-0.018764183513881094,1512.0,209.0,0.15573192239858907,0.19113756613756613,0.13574774006027787,-0.13822833076667784,-0.06163220276285664,-0.2560548586439846,-0.07328188815964073,-0.9383988394941943,0.6619421779608387,-0.3385872452779286,0.6325396537805246,False,0.056216931216931214,0.015438295029186597,-0.009784257431199905,1.577870894929356,-0.0005106436251795265,-0.0023166391784127526,False,0.11773333333333333,7.786596119929453e-05,0.01962222222222222
TopK1,-0.30466598335067985,-0.05876316958994943,1512.0,833.0,1.1011904761904763,1.0,0.36692563583787585,-0.16015007906374146,-0.2146858542908687,-0.6704093221787768,-0.08765267374113149,-0.9603171147180771,0.6400169565905942,-0.3922857865648598,0.6525764677921191,False,0.498015873015873,0.015912133244186492,-0.015793790314501604,1.0074930037266754,-0.0005106436251795265,-0.0023166391784127526,False,0.8325,0.0005505952380952382,0.13875
