strategy_name,sub_period,annual_return,sharpe_ratio,max_drawdown
TopK1,Period 1 - ZIRP Bull,-0.783665784592483,-1.596286164412174,-0.27094473833190424
TopK1,Period 2 - COVID/Growth,0.24983364742997827,0.7578411301978394,-0.32452937477341637
TopK1,Period 3 - Rate Shock,-0.2309106403399861,-0.5873435154307484,-0.6510707981111992
TopK1_Trend,Period 1 - ZIRP Bull,-0.7109276014066649,-2.0086556179684947,-0.2293081099817753
TopK1_Trend,Period 2 - COVID/Growth,0.20447787887191127,0.6435308442668728,-0.2747776305612919
TopK1_Trend,Period 3 - Rate Shock,0.2019223113621027,0.5777186432568894,-0.25874368262820135
Random_Top1,Period 1 - ZIRP Bull,-0.37140083865959794,-0.792442381221584,-0.22252348045398962
Random_Top1,Period 2 - COVID/Growth,0.15748977982981027,0.4191482936984393,-0.3909418859043352
Random_Top1,Period 3 - Rate Shock,-0.11564396142621247,-0.32108353112090654,-0.5837799039333809
Equal_Weight,Period 1 - ZIRP Bull,-0.36653065628867365,-1.081495329701522,-0.15594781569833926
Equal_Weight,Period 2 - COVID/Growth,0.46165298035432545,1.7230027253861242,-0.2806765621496681
Equal_Weight,Period 3 - Rate Shock,0.10687893106407453,0.43434256229367524,-0.2968313481718431
BuyHold_SPY,Period 1 - ZIRP Bull,-0.38613699001709756,-1.5757044438710854,-0.16120979416336212
BuyHold_SPY,Period 2 - COVID/Growth,0.2593042345527472,1.1837922314900968,-0.3371727136342999
BuyHold_SPY,Period 3 - Rate Shock,0.08823299908050197,0.4972564842662846,-0.24496397913199153
