strategy,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,calmar_ratio
ML Strategy,26.93780875409333,101.16189235027005,10.909873179661247,25.528400771019435,-2.0835005857349773,75.29411764705883,48.553810372260635
Buy and Hold,27.687855717827613,104.66472484814089,11.322123540344315,25.571372794899677,-2.0835005857349773,77.64705882352942,50.23503500058738
