ticker,max_correlation,optimal_lag
AAPL,0.19844210032614956,2
AMZN,0.3080556959694325,1
GOOGL,0.041206621404371244,0
META,0.2711095355016295,0
MSFT,0.31995060394939157,2
NVDA,0.21670594559124157,0
TSLA,0.4222833176230907,0
