,TopK1,TopK1_LongShort,Baseline_P50,Equal_Weight,Random_Top1
2018-10-19,0.008926985805207177,0.005473393863190512,0.011231905932723735,0.009195947667881224,0.005770009373646714
2018-10-22,-0.060082926650834145,-0.002999539465840528,-0.05298325373828523,-0.05284039659542809,-0.05711707990104913
2018-10-23,0.042959077022310166,0.010030727213759083,0.051778913074154484,0.051778913074154484,0.04379192790041872
2018-10-24,-0.046948800685962855,-0.01551259203050992,-0.022348934841050765,-0.022348934841050765,-0.02279698486565802
2018-10-25,-0.06426358495753426,-0.021350304807459197,-0.032980565348800374,-0.032980565348800374,-0.03804583158943746
2018-10-26,-0.005497459446531794,-0.01728170681814023,0.01722014625296353,0.01722014625296353,0.013417300025500034
2018-10-29,0.04416426273766638,0.006735899684042812,0.03403030110186725,0.03403030110186725,0.033288161293237944
2018-10-30,0.04225254609166407,0.0103096869419112,0.014279185107970278,0.014279185107970278,0.017953135846853506
2018-10-31,0.001265972876984268,0.004745735713876932,-0.013581717532736608,-0.013581717532736608,-0.017754907243377038
2018-11-01,-0.0236534204496347,0.0018675630752205694,-0.011038582783378855,-0.013322901426956548,-0.013600679699544246
2018-11-02,0.009814194582899893,0.0006699336269823668,0.004958242461602628,0.005603397442650131,0.005163280719767019
2018-11-05,0.038361575752302035,0.013878609014589205,0.03469775409911646,0.03125584033111748,0.02851123941208819
2018-11-06,-0.004489114310374353,0.009832304856965846,-0.007525687445098498,-0.009901121242128148,-0.014627212054174063
2018-11-07,-0.019281742569668414,0.00019870711433189747,-0.012899155358605885,-0.014692779031495509,-0.014033528498412395
2018-11-08,-0.07942653393806132,-0.018145215065462295,-0.061621246707822354,-0.04309250293198002,-0.04687353412529842
2018-11-09,0.05154580949041332,0.027507923752856323,0.015429699064277158,0.00917337957799123,0.009907610706095124
2018-11-12,-0.010636585751320315,0.00453967205542144,-0.004254617775475006,-0.005203611942779454,-0.011008867092641306
2018-11-13,0.023678753649720607,0.005451051376298588,0.0152018055874821,0.015970330578156666,0.017065075962577413
2018-11-14,0.01107549047054146,0.0003304916156981479,-0.02870328318836847,-0.028417568902654185,-0.012003987686256035
2018-11-15,-0.03963209387953859,-0.001196386819875161,-0.04888924571354762,-0.04888924571354762,-0.04465970212643385
2018-11-16,0.0292697068147324,0.010790212869277727,-0.009104497880002971,-0.009104497880002971,-0.006280747136716529
2018-11-19,-0.029313342349346128,-0.022038945473440374,-0.0021994852401434942,0.0002035400019737882,-0.0018845179439383197
2018-11-20,0.002003946156694969,0.001195849039266006,-0.015242452791918791,-0.015099595649061649,-0.013278729125706967
2018-11-21,0.055517394677081944,-0.003693043457329736,0.03572169434352475,0.039584398644290406,0.034615978422847
2018-11-23,0.004442902687196826,0.0067809295447725515,-0.0017114754835216215,-0.0015686183406644785,-0.0031811458790715385
2018-11-26,0.04124104762042524,0.014377888602709,0.03791372924492076,0.03426068410595353,0.034470906466337506
2018-11-27,-0.008682277541351646,0.0052888963524574395,-0.006553482853066246,-0.005307857016586584,-0.006241879558347489
2018-11-28,0.03757385157421134,0.01140305433195421,0.01514630633330576,0.014916606923022706,0.01359950294538609
2018-11-29,0.040445519425272636,-0.004591345447583828,0.02567231167297791,0.023878956407168764,0.02472446234555605
2018-11-30,-0.07604094954697449,-0.014383958224098381,-0.039134864985910706,-0.03969005867272366,-0.042200359496595036
2018-12-03,0.0075106077118904935,-0.005972129845053853,-0.00215271145205879,0.008192650802835821,0.007037006114840072
2018-12-04,-0.06747100038076614,-0.016406942504758326,-0.06797100038076614,-0.034778169471132846,-0.0374724027533947
2018-12-06,0.02879194820210529,0.010243710370033965,0.017189865772428814,0.018244418315510377,0.01634175591408918
2018-12-07,-0.02416687322763411,-0.012756819504610162,-0.014942881471513958,-0.0007387749882210105,-0.0020939424178552856
2018-12-10,0.004791309550410183,-0.006620662131233412,0.004006635287064509,0.0074884921767670734,0.0063527115812891674
2018-12-11,-6.736612468261072e-05,-0.0017983297844522683,0.008376766082167864,0.0060444665748729766,0.0047008447245517225
2018-12-12,-0.016387865374424604,-0.004918371640072083,-0.02840914446545193,-0.02514371269814172,-0.025988470550286663
2018-12-13,-0.010306129754853122,0.008278864994929247,-0.02574608422324802,-0.028862688801907167,-0.02742696385483165
2018-12-14,0.022401565208374996,-0.0011753219702760882,0.01686130731710649,0.010909751793779461,0.011623365230389093
2018-12-17,-0.03735238334743507,0.017589995874146336,-0.027045356488780373,-0.03140079128553238,-0.035657405080993444
2018-12-18,-0.025619004573396276,-0.013409915997368016,-0.0210519998957875,-0.02241239270870881,-0.02134155624559888
2018-12-19,-0.0580771264386426,-0.036498438320583804,-0.04419097829676392,-0.035746588511151214,-0.03527566808154869
2018-12-20,-0.026874172599701263,-0.01061806021504813,-0.028878132282990774,-0.02873527514013363,-0.03357296745738959
2018-12-21,0.09345222040160872,-0.005739050000109435,0.07574614416677822,0.07574614416677822,0.07361295738044
2018-12-24,-0.007489530626592632,-0.007327467356638361,-0.006330032394885799,-0.006330032394885799,-0.006571044048602461
2018-12-26,-0.010812788211712943,-0.033964475054717336,0.009030514817532935,0.009030514817532935,0.007795675499401469
2018-12-27,-0.015840813242718466,-0.006317995502282514,0.003026719512615948,0.0022589482420978723,0.0018841907606966758
2018-12-28,0.023740760502233393,0.04594488015453135,0.002427524429628886,0.002570381572486029,-0.001943106378894275
2018-12-31,-0.025241497784936007,0.00311510744012361,-0.04432295328254911,-0.04432295328254911,-0.0462592001592384
2019-01-02,0.05006399867375011,-0.0038166961191602455,0.050150879853633056,0.05135140184157311,0.049977515059124844
2019-01-03,-0.003225896477233036,-0.0027506601313921344,0.016593148632794114,0.01991939128569001,0.018935766378215476
2019-01-04,0.01906314865479386,0.004640045545877991,0.008274503224384461,0.008632868129906377,0.008226904412907793
2019-01-07,0.018666546121170025,0.007976095701599517,0.014774285042565302,0.010092101062073018,0.01107430190869493
2019-01-08,0.01858634129541037,0.01025738501666934,0.009299706797391866,0.004233851634508147,0.005480203624011664
2019-01-09,0.024788170653865294,0.013280979467914122,0.0069528712397380985,-0.001664767341655691,-0.003241422478221869
2019-01-10,0.010817576265835127,-0.00011967615926677944,-0.005798132968749128,-0.009128421655846358,-0.012722644670542174
2019-01-11,-0.0037888640970350496,-0.014137442691109336,0.016654318458182844,0.02413009920178314,0.02457982003227268
2019-01-14,-0.006872562913841418,0.0012969916425453754,0.002701706194427926,0.0017673357162393897,0.002236044005951936
2019-01-15,0.004937784254250511,-0.0001068091628205199,0.009309518290903946,0.007932784421090322,0.00791697656004976
2019-01-16,0.03333941360360082,0.01080325881514349,-0.020692434101564877,-0.007613459021454114,-0.005537322444333894
2019-01-17,-0.051997639345709,-0.007624276393018992,-0.027846609777317233,-0.026349243387382253,-0.029278686567874322
2019-01-18,0.0034954339112749366,0.012327251900188962,-0.017703832769951466,-0.0046581321461004145,0.0002901470526661143
2019-01-22,0.05727093715569476,0.02358980046269893,0.020658373396773858,0.011073132438810916,0.009784294869907688
2019-01-23,0.014635210099455787,-0.004085460532859353,0.01641332538384227,0.0176122976383183,0.015276415398171449
2019-01-24,-0.020562216712664894,-0.005113648922746683,-0.03474004277050047,-0.03125359649859633,-0.040895426643016854
2019-01-25,-0.02686994204251958,-0.0023141338333863004,-0.018959967571809573,-0.01881711042895243,-0.02091308977106563
2019-01-28,0.04299720865154322,-0.00010471766733038913,0.04461087845096311,0.04301530537708345,0.04530410501049321
2019-01-29,0.04629143130982105,-0.030936333458661425,0.02353712005565662,0.027426135623018447,0.031083644438004113
2019-01-30,0.006817527083248898,0.002668216300269422,-0.009138466783739696,-0.008250348274853745,-0.009299451409512714
2019-01-31,0.030746701234716234,0.0011709588417094796,0.020799991026588305,0.019461092329305422,0.01945960638539288
2019-02-01,0.00516159768741864,-0.003561645794939283,0.014178887359634445,0.014194030490729126,0.014543485480703394
2019-02-04,0.020340199471065912,0.01212718808906027,-0.004031538756076128,-0.006217307167700098,-0.00763233672188085
2019-02-05,-0.016784110453143986,-0.0013312718842861107,-0.022508144995963486,-0.021171560506884447,-0.022696506039292914
2019-02-06,0.004087396385308418,-0.0013111925373204816,-0.0032178922737087223,-0.0013112324203638421,-0.001839024037393191
2019-02-07,-0.011608105046074568,-0.0012023944758728922,0.00048763554032964544,-0.0008572951289791408,0.001980465416598154
2019-02-08,0.014581804297849277,0.009552832894421215,0.017464047883293754,0.01446577511553848,0.013536472429216087
2019-02-11,0.010311572944955993,0.008094470909065454,-0.0005198146187805528,-0.0012851795122654616,-0.0022988792529515735
2019-02-12,-0.011579272014338837,-0.005423895558037906,-0.0015123052828934038,-0.0014007589422319216,-0.002013984821461574
2019-02-13,-0.009059262479477748,-0.00010765776717108766,0.004050489216043118,0.002208426907303305,0.0034382489103441482
2019-02-14,0.012208075244112715,0.0067501725145803215,0.0015265467418649754,0.0011238586665917036,0.0004999285928646446
2019-02-15,0.011193444007711828,0.004764922512070446,-0.000878236799382019,-0.000515117401817311,-0.0011659409248717955
2019-02-19,-0.0026398893947140447,0.006431049098631458,-0.009297578741880974,-0.010183922863323258,-0.013686581777904525
2019-02-20,0.0074841032295558385,-0.0020377741996121523,0.012999579434202602,0.012793875461999392,0.011690231743790651
2019-02-21,0.0008825736547322105,-0.0028521569564431966,0.004182449362906379,0.005991718300573116,0.005804150469780211
2019-02-22,0.00208203509820426,-0.0024092263537993652,-0.0016994999384766045,-0.00032807311786523354,-0.0001908197166188285
2019-02-25,0.0028660116253622636,0.002278528756381515,0.007436514134673333,0.006132576988662748,0.0062976563265586625
2019-02-26,-0.0007677325817357916,-0.009049289293458274,-0.004053695492101939,-0.0009987609924901248,-0.0019432146607501033
2019-02-27,0.018502111182095438,0.006519662657193171,0.013594114795937287,-0.0007384238930823496,0.000955630830587324
2019-02-28,0.030365365057259175,0.016382265251022488,0.011478001839511753,0.0032860010239799268,0.0009526718127288403
2019-03-01,0.02324210622261469,0.014115226534869574,0.00030568056991289174,-0.0006664228316527149,0.0005029170737929655
2019-03-04,0.00729901117094256,0.00602656801402196,-0.011229889952956495,-0.006451365326010967,-0.0053283052591737755
2019-03-05,-0.01934916701766276,-0.004127113818486016,-0.019229457758500636,-0.01403991342219652,-0.014316232266854984
2019-03-06,0.009245567628959561,0.002733415157963826,0.006597421033836115,0.005550407126722692,0.005076038284968336
2019-03-07,0.0697025642961846,0.018982345287827218,0.039278086547984585,0.03142455771375051,0.03232026542901183
2019-03-08,0.008564239607443902,0.004217995336188107,0.0024257462684100233,0.002383246649361118,0.0017105344385332688
2019-03-11,0.009585118161452244,0.0020816456779803047,0.018573285249928757,0.012856326120773318,0.011607353320896081
2019-03-12,-0.002714673150861824,-0.006915718087682876,-0.006050354316083316,-0.004200216246021959,-0.006102569627928365
2019-03-13,0.015502120161135613,0.0012471089166337102,-0.012492728592757367,-0.0015575925357878316,0.0011314364306725011
2019-03-14,0.017397066258948213,0.024796933124730303,-0.0004990512504516205,-0.0027672026724965904,-0.001765190881198051
2019-03-15,0.03901193713985862,0.022968422130905886,0.015658154759264065,0.007876845067694038,0.008174866837789277
2019-03-18,0.022952321509051132,0.011528665974013863,0.010542410807624025,0.012440999808109738,0.011248549307893287
2019-03-19,0.0038686157916454356,-0.00468327545817665,0.020768973101490198,0.02000783480323709,0.015874382953393305
2019-03-20,-0.010476902063073279,0.004615719905130711,-0.027106879050720296,-0.025741254157645752,-0.024262060147943278
2019-03-21,0.011865443745586735,0.011978183914784502,-0.008209862587053066,-0.004947942782861623,-0.008310280562498338
2019-03-22,0.008359008922860678,0.009345478571816501,0.00628100829937861,0.006459125005958894,0.008013067521720983
2019-03-25,-0.010794412918921248,-0.009894292273871175,-0.008488435409018502,-0.0010374475739977859,-0.0036219250212817843
2019-03-26,-0.0019292007075218942,-0.0021498173135776617,0.0029220139433937756,0.00261526261680394,0.0006503564957796959
2019-03-27,0.01203242191658338,0.0016973596787758787,0.007321751347075645,0.00679987427142075,0.006547645746133559
2019-03-28,0.011058155552420845,0.0009505760752633323,0.017141396478130917,0.01628648318152567,0.015839318011351123
2019-03-29,0.0029496275956985016,0.0007607049795352321,0.007505415425273443,0.006637244312609812,0.007066609514840078
2019-04-01,0.0033713747219595866,-0.001586478422289594,0.008203939544260802,0.009877197135091036,0.009907579354581815
2019-04-02,0.007135725283915706,-0.004077474500945921,-0.015478254713451257,-0.009597895643919186,-0.0016434932891520827
2019-04-03,0.005694394194759035,0.003699385484657092,0.004407595548205756,0.00772845622427641,0.007883192763891232
2019-04-04,0.015736078153960387,0.010115963561490415,0.00319287501571648,0.001971745506378163,0.0016409645909140403
2019-04-05,-0.0029986238223017603,-0.009073808741773493,-0.006963059393640769,-0.0031320022445334716,-0.002240645561763772
2019-04-08,0.014005595079497613,0.006327009868450639,0.007515318855221379,0.007536632462707273,0.005446859115108033
