model,accuracy,accuracy_std,f1_score,f1_std,roc_auc,roc_auc_std,training_time
Logistic Regression,0.5066666666666666,0.12892719737209143,0.36383575883575886,0.137903125931954,0.5683068783068783,0.10965184347272021,0.6796342372894287
Random Forest,0.5199999999999999,0.08326663997864532,0.5012531328320803,0.14742058588261686,0.6323703703703704,0.15654801154717732,0.08499913215637207
