strategy,model,alpha_daily,alpha_annual,alpha_t,alpha_p,R2_adj,N,beta_Mkt_RF,t_Mkt_RF,p_Mkt_RF,beta_SMB,t_SMB,p_SMB,beta_HML,t_HML,p_HML,beta_RMW,t_RMW,p_RMW,beta_CMA,t_CMA,p_CMA,beta_Mom,t_Mom,p_Mom
TopK1,FF5+MOM,0.001717838191397973,0.4328952242322892,2.8608402714611283,0.004225198668789969,0.002313495012735478,1512,0.04074905659039514,0.42236116921157985,0.6727614163428944,-0.10578928310588123,-0.8893114154989937,0.37383573811914406,0.14402481498842556,1.5228316655868683,0.12780082551910737,-0.11981198378381974,-0.9296728719748047,0.35254048441840613,-0.26158862309674147,-1.3713363102331835,0.17027014158638987,-0.06330071322068664,-1.1743860082762791,0.24024044700282143
TopK1_LongShort,FF5+MOM,-5.72299011805519e-05,-0.014421935097499079,-0.17151217318531659,0.8638210594476158,0.002007288561280518,1512,-0.03219559873920319,-0.7954488333946841,0.42635246324383824,-0.05641141441632713,-0.98973546509153,0.3223034355109501,0.008479372059708046,0.16736490924592468,0.8670829340670638,0.013842261434510915,0.20287035095457587,0.8392363688933215,-0.16525242720909342,-1.957439039611525,0.05029587235408875,-0.018595204237637705,-0.6653974319022868,0.5057963270787887
Baseline_P50,FF5+MOM,0.0013990627454986292,0.35256381186565455,2.886667992579289,0.003893448351803087,0.007232247707874007,1512,0.13293151846261142,1.7860637380202575,0.07408893863979885,-0.08805970063756165,-1.018988722774392,0.30820832039451374,0.14336390347345024,1.7738331811453298,0.07609074786448541,-0.11594724037524026,-0.9894044140932777,0.3224653157426586,-0.05420064384169111,-0.35222738553791705,0.7246677405978734,-0.029341902880736834,-0.5982900578772947,0.549646409303628
Equal_Weight,FF5+MOM,0.0013796355413747963,0.34766815642644866,2.8687336388887448,0.004121186975592862,0.005174863471706148,1512,0.11248458599988426,1.4824154295747407,0.13822979094347132,-0.07795748519388201,-0.9151610108922122,0.36010710959406234,0.13643658903527467,1.712480917637515,0.08680807828239506,-0.12283899989087493,-1.0720486717042663,0.28369817148572185,-0.005104419571459053,-0.033442125827508655,0.9733220168828278,-0.02836745618557191,-0.5720363717120026,0.5672973340017009
Random_Top1,FF5+MOM,0.0009392859245148191,0.23670005297773442,1.9629505799669615,0.04965191672924034,0.005431451354836803,1512,0.10862737042099205,1.3634675326235188,0.1727352101242824,-0.07983892886937778,-0.93188914579546,0.3513938176134924,0.14537693903555055,1.842417817227095,0.06541405757039401,-0.1261860534206848,-1.1059582319612553,0.2687445982681971,-0.014947113425339095,-0.09767145652218187,0.9221931815548536,-0.03546862205272645,-0.7161786994387832,0.4738810138305546
