,0
2018-10-19,0.05613608914238399
2018-10-22,-0.5613608914238398
2018-10-23,0.46291004988627577
2018-10-24,-0.11118739749916519
2018-10-25,-0.5987849508520958
2018-10-26,-0.25697808437502334
2018-10-29,0.24325638628366394
2018-10-30,0.4490887131390719
2018-10-31,-0.15936381457791915
2018-11-01,-0.20788046015507503
2018-11-02,-0.11952286093343936
2018-11-05,0.2988071523335984
2018-11-06,-0.15762208124782012
2018-11-07,0.495600591294688
2018-11-08,-0.8894991799933215
2018-11-09,0.4865127725673279
2018-11-12,-0.07484811885651198
2018-11-13,0.5800729211379678
2018-11-14,0.15762208124782012
2018-11-15,-0.28867513459481287
2018-11-16,-0.16840826742715195
2018-11-19,-0.31524416249564025
2018-11-20,0.3555285645684319
2018-11-21,-0.1336306209562122
2018-11-23,0.7968190728895957
2018-11-26,0.8669214468630109
2018-11-27,0.0181848241863327
2018-11-28,0.12613124477737825
2018-11-29,0.18018749253911182
2018-11-30,-0.054554472558998104
2018-12-03,-0.7881104062391007
2018-12-04,-0.6123724356957946
2018-12-06,-0.21673036171575272
2018-12-07,-0.610785564835303
2018-12-10,-0.4642857142857144
2018-12-11,-0.12613124477737825
2018-12-12,-0.22237479499833038
2018-12-13,0.7637626158259735
2018-12-14,0.23424374030084538
2018-12-17,-0.16366341767699433
2018-12-18,-0.27533366183038216
2018-12-19,-0.5323117462054056
2018-12-20,0.28867513459481287
2018-12-21,-0.41833001326703784
2018-12-24,-0.41833001326703784
2018-12-26,-0.5800729211379678
2018-12-27,-0.13098420799889593
2018-12-28,0.9543135154205278
2018-12-31,-0.11227217828476797
2019-01-02,-0.03940552031195503
2019-01-03,-0.3779644730092273
2019-01-04,-0.24325638628366394
2019-01-07,0.6000991981489792
2019-01-08,0.6174969805662239
2019-01-09,0.34235623582431246
2019-01-10,-0.14414999403128945
2019-01-11,-0.4504687313477795
2019-01-14,0.10910894511799621
2019-01-15,0.3181045051401759
2019-01-16,0.16366341767699433
2019-01-17,-0.4678007428531998
2019-01-18,-0.3742405942825599
2019-01-22,0.44474958999666075
2019-01-23,0.07484811885651198
2019-01-24,-0.07412493166611012
2019-01-25,0.03940552031195503
2019-01-28,0.07412493166611012
2019-01-29,0.1272937693043289
2019-01-30,0.21821789023599242
2019-01-31,0.3368165348543039
2019-02-01,-0.26196841599779186
2019-02-04,0.198206241793023
2019-02-05,-0.3929526239966879
2019-02-06,-0.2909571869813232
2019-02-07,-0.09009374626955591
2019-02-08,0.8001322641986389
2019-02-11,0.7637626158259735
2019-02-12,0.21912524504463884
2019-02-13,0.3555285645684319
2019-02-14,-0.1543033499620919
2019-02-15,-0.12848904218751167
2019-02-19,0.2364331218717302
2019-02-20,0.03706246583305506
2019-02-21,-0.36369648372665403
2019-02-22,-0.5323117462054056
2019-02-25,-0.4490887131390719
2019-02-26,-0.29649972666444047
2019-02-27,0.7273929674533081
2019-02-28,0.6424452109375585
2019-03-01,0.7819474400123061
2019-03-04,0.0
2019-03-05,-0.0363696483726654
2019-03-06,0.490990253030983
2019-03-07,0.5800729211379678
2019-03-08,0.18712029714127995
2019-03-11,0.7671932182792478
2019-03-12,-0.03742405942825599
2019-03-13,0.07484811885651198
2019-03-14,0.41833001326703784
2019-03-15,0.2672612419124244
2019-03-18,0.1272937693043289
2019-03-19,-0.5052248022814558
2019-03-20,-0.018712029714127994
2019-03-21,-0.22454435656953595
2019-03-22,0.17928429140015906
2019-03-25,-0.6486749731408026
2019-03-26,-0.09092412093166351
2019-03-27,0.3929526239966879
2019-03-28,0.26196841599779186
2019-03-29,0.1336306209562122
2019-04-01,-0.2993924754260479
2019-04-02,0.18355577455358812
2019-04-03,-0.09092412093166351
2019-04-04,0.3368165348543039
2019-04-05,-0.43037668342494384
2019-04-08,0.30631873731649006
2019-04-09,0.07484811885651198
2019-04-10,0.1336306209562122
2019-04-11,0.1182165609358651
2019-04-12,0.9636241116594317
2019-04-15,0.2545875386086578
2019-04-16,-0.30631873731649006
2019-04-17,-0.22454435656953595
2019-04-18,-0.15762208124782012
2019-04-22,0.41443123283995714
2019-04-23,-0.9274260335029678
2019-04-24,0.2988071523335984
2019-04-25,0.11227217828476797
2019-04-26,-0.24325638628366394
2019-04-29,0.4531634835874829
2019-04-30,0.6236413804652251
2019-05-01,0.31524416249564025
2019-05-02,0.044543540318737404
2019-05-03,-0.4330127018922194
2019-05-06,-0.40089186286863665
2019-05-07,0.15811388300841894
2019-05-08,0.1336306209562122
2019-05-09,0.6123724356957946
2019-05-10,-0.6123724356957946
2019-05-13,0.6324555320336758
2019-05-14,0.8660254037844388
2019-05-15,0.28867513459481287
2019-05-16,0.7968190728895957
2019-05-17,0.15811388300841894
2019-05-20,0.4330127018922194
2019-05-21,-0.1543033499620919
2019-05-22,0.7216878364870323
