,Fold 9,Fold 10,Fold 11,Fold 12
Fold 9,1.0,0.24243918387922514,0.40569032551592704,0.2616072699880864
Fold 10,0.24243918387922514,1.0,0.2033554465878979,0.13431531352455564
Fold 11,0.4056903255159271,0.20335544658789792,1.0,0.725203756262677
Fold 12,0.2616072699880864,0.13431531352455564,0.725203756262677,1.0
