available_tickers
AAPL
ADBE
ADI
ADP
ALGN
AMAT
AMGN
AMZN
ASML
AVGO
BIIB
BKNG
BMRN
CDNS
CDW
CHKP
CMCSA
COST
CPRT
CRWD
CSCO
CTAS
CTSH
DLTR
DOCU
DXCM
EXC
EXPE
FAST
FISV
FOX
FOXA
FTNT
GILD
GOOG
GOOGL
HOLX
HON
IDXX
ILMN
INTC
INTU
ISRG
KLAC
LBTYA
LRCX
LULU
MAR
MCHP
MDLZ
MELI
META
MNST
MSCI
MSFT
MTCH
MU
NFLX
NTAP
NVDA
NXPI
ODFL
OKTA
ORLY
PANW
PAYX
PCAR
PEP
QCOM
REGN
ROST
SBUX
SIRI
SNPS
SWKS
TEAM
TMUS
TSLA
TTWO
TXN
VIAV
VRSK
VRSN
VRTX
WDAY
XEL
ZBRA
ZM
ZS
