date,ticker,headline,url,source,date_dt
2025-11-24,AAPL,Young people lack skills to manage their money – but the UK curriculum is finally catching up,https://uk.finance.yahoo.com/news/young-people-money-uk-government-education-curriculum-060024381.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,GOOGL,NATO and Google Cloud Sign Multi-Million Dollar Deal for AI-Enabled Sovereign Cloud,https://finance.yahoo.com/news/nato-google-cloud-sign-multi-070000162.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,MSFT,2 Mega-Cap Stocks to Consider Right Now and 1 We Question,https://finance.yahoo.com/news/2-mega-cap-stocks-consider-043615912.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,MSFT,Flood of AI Bonds Adds to Pressure on Markets,https://finance.yahoo.com/m/33372498-f9e3-3456-8fd4-0fc08fc23285/flood-of-ai-bonds-adds-to.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,NVDA,Stocks rise as US rate hopes soothe nerves after torrid week,https://finance.yahoo.com/news/asian-stocks-rise-us-rate-030527575.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,NVDA,Caterpillar Is Quietly Beating Nvidia Stock This Year. Should You Buy It?,https://www.fool.com/investing/2025/11/24/caterpillar-is-quietly-beating-nvidia-stock-this-y/?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,NVDA,Could Buying SoundHound AI Now Be Like Buying Nvidia in 2023?,https://www.fool.com/investing/2025/11/24/could-buying-soundhound-ai-now-be-like-buying-nvid/?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,NVDA,Revolut valued at $75 billion after secondary share sale,https://finance.yahoo.com/news/revolut-valued-75-billion-secondary-084609213.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,NVDA,Revolut share sale values London fintech giant at £57 billion,https://www.standard.co.uk/business/revolut-share-sale-london-fintech-giant-nvdia-b1259445.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,NVDA,Revolut Notches $75 Billion Valuation in Latest Share Sale,https://finance.yahoo.com/news/revolut-notches-75-billion-valuation-094617423.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,GOOGL,The Real AI Battle Isn't in Chips -- It's in Compute Efficiency. Here's the Stock Positioned to Win.,https://www.fool.com/investing/2025/11/23/the-real-ai-battle-isnt-chips-its-compute-efficien/?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,MSFT,Analysis-U.S. companies hold the line at climate talks despite Trump,https://finance.yahoo.com/news/analysis-u-companies-hold-line-060317445.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,GOOGL,Alphabet (GOOGL): Exploring Valuation After a 44% Surge in the Past Quarter,https://finance.yahoo.com/news/alphabet-googl-exploring-valuation-44-021018923.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,GOOGL,3 Top Tech Stocks to Buy in November,https://www.fool.com/investing/2025/11/23/3-top-tech-stocks-to-buy-in-november/?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,TSLA,1 Mega-Cap Stock on Our Watchlist and 2 We Brush Off,https://finance.yahoo.com/news/1-mega-cap-stock-watchlist-043535917.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,TSLA,I Would Buy Tesla Stock at This Price,https://www.fool.com/investing/2025/11/24/i-would-buy-tesla-stock-at-this-price/?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,TSLA,"Safe, Routine, Ready: Does That Spell the End for Tesla's Run-Up?",https://www.fool.com/investing/2025/11/24/safe-routine-ready-does-that-spell-the-end-for-tes/?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,AMZN,"2 No-Brainer Stocks to Buy With $50 Before 2026, According to Wall Street",https://www.fool.com/investing/2025/11/24/2-no-brainer-stocks-buy-50-before-2026-wall-street/?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,AMZN,‘She’s a thief. She’s a con. She’s a crook’: Former CEO of realtor group accused of stealing $81K plus. Here’s how,https://finance.yahoo.com/news/she-thief-she-con-she-153500797.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,AAPL,Everything you need to know about second charge mortgages,https://uk.finance.yahoo.com/news/second-charge-mortgages-property-060019263.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,MSFT,Google Has Been an AI Winner. What to Do With Alphabet Stock Now.,https://finance.yahoo.com/m/84d70911-2838-3e3c-90cb-28e3f60bbf1d/google-has-been-an-ai-winner..html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,MSFT,Former Microsoft Executive Launches $250 Eyewear Brand For Girls After Daughter's Vision Crisis At Age 4,https://finance.yahoo.com/news/former-microsoft-executive-launches-250-010111438.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,MSFT,Could the Anthropic Partnership Be Nvidia's Most Important AI Deal Yet?,https://www.fool.com/investing/2025/11/24/could-the-anthropic-partnership-be-nvidias-most-im/?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,META,"China's power equipment firms ride AI-driven boom amid demand from US, emerging markets",https://finance.yahoo.com/news/chinas-power-equipment-firms-ride-093000413.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,AAPL,How to plan Black Friday shopping to avoid overspending,https://uk.finance.yahoo.com/news/black-friday-shopping-spending-amazon-060019679.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,AAPL,"This Is My Favorite Warren Buffett Stock, and It's One of His Biggest Bets (Hint: It's Not Apple or Alphabet)",https://www.fool.com/investing/2025/11/24/this-is-my-favorite-warren-buffett-stock-and-its-o/?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,AAPL,"Dow Jones Futures, Bitcoin Rise; Nvidia, Apple, Eli Lilly In Focus",https://finance.yahoo.com/m/8d419152-1254-303b-b245-e33cbbfa30b6/dow-jones-futures%2C-bitcoin.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,AAPL,These 3 Dow Stocks Are Set to Soar in 2026 and Beyond,https://www.fool.com/investing/2025/11/23/these-3-dow-stocks-are-set-to-soar-in-2026-and-bey/?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,META,Alibaba’s Main AI App Debuts Strongly in Effort to Rival ChatGPT,https://finance.yahoo.com/news/alibaba-main-ai-app-debuts-041113798.html?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,MSFT,Anthropic Will Spend $30 Billion on Azure. Could This Be Microsoft's Most Important AI Deal Yet?,https://www.fool.com/investing/2025/11/24/anthropic-spend-billion-azure-microsoft/?.tsrc=rss,Yahoo Finance,2025-11-24
2025-11-24,META,3 Volatile Stocks That Fall Short,https://finance.yahoo.com/news/3-volatile-stocks-fall-short-044513683.html?.tsrc=rss,Yahoo Finance,2025-11-24
