date,ticker,Open,High,Low,Close,Volume,daily_return,next_day_return,movement,volatility,SMA_20,EMA_12,MACD,MACD_signal,MACD_diff,ADX,RSI,Stochastic_K,Stochastic_D,Williams_R,BB_upper,BB_middle,BB_lower,ATR,OBV,CMF,VWAP
2025-07-16,AAPL,209.85816533566302,211.9537441254909,208.20164932080104,209.7184600830078,47490500,0.5021264030900419,-0.06661763232523876,0,0.7780327677078439,205.57717819213866,208.42635949158415,2.5989831136876944,2.695834658279243,-0.09685154459154877,19.454323952831373,59.99828394186013,64.23104255432864,59.143623148221536,-35.768957445671354,216.55279068925572,205.57717819213866,194.6015656950216,3.974059593609163,588354000,0.03907156410373792,207.69958576622062
2025-07-17,AAPL,210.12759810142074,211.3550095983717,209.14964612579556,209.57875061035156,48068100,-0.06661763232523876,0.5523280640275852,1,0.6807469754802294,206.2946678161621,208.60365043293297,2.498394482262057,2.656346623075806,-0.15795214081374898,19.149212919841545,59.5849205735419,63.40603614132756,61.89358445452535,-36.59396385867244,216.30417774007006,206.2946678161621,196.28515789225415,3.8477241563925197,540285900,0.037812851448143885,208.32933289137313
2025-07-18,AAPL,210.42696659875526,211.34503189230253,209.25942654413325,210.73631286621094,48974600,0.5523280640275852,0.6155900285392368,1,0.7182705270204395,207.02313385009765,208.93175234574497,2.4834551420710795,2.6217683268748613,-0.13831318480378174,18.865895532065277,61.92553641176407,70.24162335223717,65.95956734929779,-29.758376647762834,216.05083108076872,207.02313385009765,197.99543661942658,3.721858527233717,589260500,0.04767967607972667,209.21087834288016
2025-07-21,AAPL,211.65439331220318,215.32665448510335,211.18537954340883,212.03358459472656,51377400,0.6155900285392368,0.9036090171780309,1,0.2827895110577472,207.5959274291992,209.40895730712677,2.546935111523055,2.6068016838045,-0.059866572281444874,19.782555806192363,64.41296053712682,62.834545493979505,65.49406832918142,-37.165454506020495,216.36514522386324,207.5959274291992,198.82670963453518,3.7838930337807666,640637900,-0.04467065793722057,210.24879951052432
2025-07-22,AAPL,212.69219192810166,214.49838667908332,211.78410018506472,213.9495391845703,46404100,0.9036090171780309,-0.11660036442873167,0,0.35357095534667504,208.23957214355468,210.107508365195,2.7204849111493274,2.6295383292734655,0.09094658187586191,20.63374034645323,67.76271831483035,79.68915894789387,70.92177593137018,-20.310841052106124,216.8891694855616,208.23957214355468,199.58997480154775,3.7074925666548983,687042000,-0.04645749602870642,210.7920434985859
2025-07-23,AAPL,214.54829351654996,214.69797228179937,211.9637386583707,213.7000732421875,46989300,-0.11660036442873167,-0.18211290671763525,0,0.44872539546907037,208.9306167602539,210.66021065396308,2.8055538822772803,2.664741439874229,0.14081244240305146,21.478736759587076,66.87998714887861,76.91456117053602,73.1460885374698,-23.08543882946398,216.98602175676294,208.9306167602539,200.8752117637449,3.637974070710168,640052700,0.014580513247700705,210.98252885876127
2025-07-24,AAPL,213.45060308663847,215.23685093304425,213.08138530657155,213.31089782714844,46022600,-0.18211290671763525,0.05613917422049308,1,0.4792477449053993,209.53933563232422,211.06800868060697,2.8091859048128356,2.6936303328619506,0.11555557195088495,22.415439991920856,65.4476330255199,72.58609359994993,76.39660457279327,-27.41390640005007,216.961948365243,209.53933563232422,202.11672289940546,3.5320806104074927,594030100,-0.005758309230954113,211.08612375082757
2025-07-25,AAPL,214.24891808809048,214.7877920897316,212.95164630742312,213.43064880371094,40268800,0.05613917422049308,0.07948587409902785,1,0.4794315513833219,210.181982421875,211.43149177646913,2.7895707763848634,2.7128184215665336,0.07675235481832976,23.2072997699569,65.69112188118277,77.80378080410972,75.7681451915319,-22.19621919589028,216.53883131441918,210.181982421875,203.82513352933083,3.41094240840042,634298900,-0.022971278247296258,211.2437578587653
2025-07-28,AAPL,213.5803337758995,214.39861831079742,212.61237047326716,213.6002960205078,37858000,0.07948587409902785,-1.2987668901023652,0,0.4367680773000836,210.82911987304686,211.7651539678597,2.7559459292255326,2.7214439230983336,0.034502006127199,23.72975141226684,66.05605722804475,79.78981219998127,76.72656220134697,-20.21018780001873,215.61747865860875,210.82911987304686,206.04076108748498,3.294892796195408,672156900,0.004487240054827329,211.499654994751
2025-07-29,AAPL,213.73000061776605,214.3586818606333,210.37707459375494,210.8261260986328,51411700,-1.2987668901023652,-1.0507862911703691,0,0.5735027740622133,211.13347930908202,211.6206881418248,2.4768935802277383,2.672533854524215,-0.19564027429647668,22.940260017544638,55.634661932117304,45.26702997429122,67.62020765946073,-54.73297002570878,215.0244661275927,211.13347930908202,207.24249249057135,3.3439438298156197,620745200,-0.0808101946183209,211.6866689078079
